date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:03	31058/31058	---M--	200	added ('OK')	image/jpeg	etag:%227952-5bafa85fa6820%22	https://marumarudd.site.live/img/5JlHC-hty3h-5UMSG-xoR20-AEK4T.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/5JlHC-hty3h-5UMSG-xoR20-AEK4T.jpg	(from https://marumarudd.site.live/?site=live)
21:23:04	50325/50325	---M--	200	added ('OK')	image/jpeg	etag:%22c495-5fa79ace2a678%22	https://marumarudd.site.live/img/42mRR-8AJeh-nzHki-Xl6Ti-OKgP7.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/42mRR-8AJeh-nzHki-Xl6Ti-OKgP7.jpg	(from https://marumarudd.site.live/?site=live)
21:23:04	30909/30909	---M--	200	added ('OK')	image/jpeg	etag:%2278bd-5a8b65f3177e8%22	https://marumarudd.site.live/img/zSfRe-Mizl9-7bbpF-Tfqfk-REIEW.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/zSfRe-Mizl9-7bbpF-Tfqfk-REIEW.jpg	(from https://marumarudd.site.live/?site=live)
21:23:04	22489/22489	---M--	200	added ('OK')	image/jpeg	etag:%2257d9-5c18f32b8d7a0%22	https://marumarudd.site.live/img/N44K9-JL3Qk-BqnNv-hFLdR-sQuds.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/N44K9-JL3Qk-BqnNv-hFLdR-sQuds.jpg	(from https://marumarudd.site.live/?site=live)
21:23:04	18167/18167	---M--	200	added ('OK')	image/jpeg	etag:%2246f7-5db1a0ad7a2d0%22	https://marumarudd.site.live/img/Cyuk7-nMe1X-Jbrho-bdbNP-Zaybu.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/Cyuk7-nMe1X-Jbrho-bdbNP-Zaybu.jpg	(from https://marumarudd.site.live/?site=live)
21:23:04	16144/16144	---M--	200	added ('OK')	image/jpeg	etag:%223f10-5b1ca2341e728%22	https://marumarudd.site.live/img/c5arx-WGDow-1xpI5-5nf7M-Vizsi.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/c5arx-WGDow-1xpI5-5nf7M-Vizsi.jpg	(from https://marumarudd.site.live/?site=live)
21:23:05	42305/42305	---M--	200	added ('OK')	image/jpeg	etag:%22a541-5d6f4b69971b8%22	https://marumarudd.site.live/img/xWIFN-gRQ8v-LV2jH-Gcclt-jZyeO.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/xWIFN-gRQ8v-LV2jH-Gcclt-jZyeO.jpg	(from https://marumarudd.site.live/?site=live)
21:23:05	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Jun%202023%2013:23:04%20GMT	https://marumarudd.site.live/%22https://images.unsplash.com/photo-1619251173183-eccbb0f03cd2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wzMjE1M3wwfDF8c2VhcmNofDJ8fHNpbXBsZSUyMGNvbG9yfGVufDB8fHx8MTY4NjMxNjY4N3ww&ixlib=rb-4.0.3&q=80&w=1080%22	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/_https_/images.unsplash.com/photo-1619251173183-eccbb0f03cd2ea31	(from https://marumarudd.site.live/?site=live)
21:23:06	11371/11371	---M--	200	added ('OK')	image/jpeg	etag:%222c6b-5bc29227e3dc8%22	https://marumarudd.site.live/img/iR80V-jVana-YaN3a-Irj4y-vd3MZ.jpeg	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/iR80V-jVana-YaN3a-Irj4y-vd3MZ.jpg	(from https://marumarudd.site.live/?site=live)
21:23:06	497418/497418	---M--	200	added ('OK')	image/png	etag:%227970a-582431fa6d440%22	https://marumarudd.site.live/img/tiOJX-Dpbit-NLqhh-WhdRX-91UmN.png	C:/My%20Websites/Maru'Maru%201%20site/marumarudd.site.live/img/tiOJX-Dpbit-NLqhh-WhdRX-91UmN.png	(from https://marumarudd.site.live/?site=live)
